indicador,202031/12,202131/12,202231/12,202331/12,202431/12,company
Ingresos totales,31.536,53.823,81.462,96.773,97.690,tesla-motors
Crecimiento de los ingresos totales,"+28,31%","+70,67%","+51,35%","+18,8%","+0,95%",tesla-motors
Coste de los ingresos,24.906,40.217,60.609,79.113,80.240,tesla-motors
Beneficio bruto,6.630,13.606,20.853,17.660,17.450,tesla-motors
Crecimiento del beneficio bruto,"+62,94%","+105,22%","+53,26%","-15,31%","-1,19%",tesla-motors
Margen de beneficio bruto %,"21,02%","25,28%","25,6%","18,25%","17,86%",tesla-motors
Total de otros gastos operativos,4.679,7.083,7.161,8.769,9.791,tesla-motors
Crecmiento total de otros gastos operativos,,,,,,tesla-motors
Gastos de I+D,,,,,,tesla-motors
"Gastos de venta, generales y administrativos",,,,,,tesla-motors
Otros gastos operativos,,,,,,tesla-motors
Margen neto,1.951,6.523,13.692,8.891,7.659,tesla-motors
Crecimiento del margen neto,"+2.338,75%","+234,34%","+109,9%","-35,06%","-13,86%",tesla-motors
Margen EBIT %,"6,19%","12,12%","16,81%","9,19%","7,84%",tesla-motors
Gastos netos por intereses,-718,-315,106,910,1.219,tesla-motors
Crecimiento de gastos netos por intereses,"-5,43%","+56,13%","+133,65%","+758,49%","+33,96%",tesla-motors
Total de gastos de intereses,-748,-371,-191,-156,-350,tesla-motors
Ingresos por intereses e inversiones,30,56,297,1.066,1.569,tesla-motors
Total de otros gastos no operativos,-122,135,-43,172,695,tesla-motors
EBT excepto elementos no habituales,1.111,6.343,13.755,9.973,9.573,tesla-motors
Ganancia (pérdida) de la venta de activos,-,-,-,-,-,tesla-motors
Total de otras partidas no habituales,43,-,-,-,-,tesla-motors
EBT incluyendo las partidas inusuales,1.154,6.343,13.719,9.973,8.990,tesla-motors
Crecimiento del EBT incluidas las partidas inusuales,"+273,53%","+449,65%","+116,29%","-27,31%","-9,86%",tesla-motors
Margen del EBT incluidas las partidas inusuales,"3,66%","11,78%","16,84%","10,31%","9,2%",tesla-motors
Impuesto sobre la renta,292,699,1.132,-5.001,1.837,tesla-motors
Beneficios netos para la empresa,862,5.644,12.587,14.974,7.153,tesla-motors
Intereses minoritarios,-141,-125,-31,23,-62,tesla-motors
Beneficio neto,721,5.519,12.556,14.997,7.091,tesla-motors
Crecimiento del beneficio neto,"+183,64%","+665,46%","+127,5%","+19,44%","-52,72%",tesla-motors
Margen del beneficio neto %,"2,29%","10,25%","15,41%","15,5%","7,26%",tesla-motors
Dividendo preferente y otros ajustes,31,-5,-27,-2,-39,tesla-motors
Beneficio neto sobre ingresos ordinarios,690,5.524,12.583,14.999,7.130,tesla-motors
BPA básico: Crecimiento de actividades continuadas,"0,25","1,87","4,02","4,73","2,23",tesla-motors
BPA básico: crecimiento de actividades continuadas,"+175,43%","+657,02%","+115,34%","+17,55%","-52,81%",tesla-motors
BPA diluido: Crecimiento de actividades continuadas,"0,21","1,63","3,62","4,3","2,04",tesla-motors
BPA diluido: Actividades continuadas,"+164,23%","+678,13%","+121,61%","+18,74%","-52,56%",tesla-motors
Promedio ponderado básico de acciones en circulación,2.798,2.959,3.130,3.174,3.197,tesla-motors
Promedio ponderado diluido de acciones en circulación,3.249,3.386,3.475,3.485,3.498,tesla-motors
Dividendo por acción,-,-,-,-,-,tesla-motors
Crecimiento del dividendo por acción,-,-,-,-,-,tesla-motors
EBITDA,4.273,9.434,17.235,13.558,13.027,tesla-motors
Crecimiento del EBITDA,"+96,73%","+120,78%","+82,69%","-21,33%","-3,92%",tesla-motors
Margen EBITDA %,"13,55%","17,53%","21,16%","14,01%","13,34%",tesla-motors
EBIT,1.951,6.523,13.692,8.891,7.659,tesla-motors
